 ,Label,Area,Mean,StdDev,Perim.,BX,BY,Width,Height,Circ.,AR,Round,Solidity
278,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:09177-04549,16.515,3.042,0.214,15.012,1454.389,2937.283,5.124,4.164,0.921,1.163,0.860,0.931
279,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:09295-02372,28.722,1.232,0.241,20.667,756.820,2973.795,5.765,6.726,0.845,1.443,0.693,0.912
280,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:09422-01062,22.260,1.075,0.159,18.104,336.934,3015.432,6.406,4.804,0.853,1.410,0.709,0.921
281,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:09479-06619,13.746,3.114,0.508,15.652,2117.688,3033.687,4.484,4.804,0.705,1.346,0.743,0.827
282,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:09510-00976,44.930,1.068,0.128,24.931,308.749,3042.015,7.687,7.687,0.908,1.128,0.887,0.947
283,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:09721-02351,12.515,1.387,0.286,13.200,751.055,3111.515,4.164,3.843,0.903,1.105,0.905,0.914
284,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:09774-06233,9.950,1.113,0.107,11.466,1994.701,3128.810,3.523,3.523,0.951,1.102,0.907,0.928
285,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:09782-01433,22.875,1.015,0.055,17.839,456.078,3130.732,6.085,4.804,0.903,1.207,0.828,0.939
286,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:09825-00814,14.361,1.005,0.008,14.183,258.466,3144.504,4.484,4.484,0.897,1.168,0.856,0.909
287,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:09833-03980,10.360,2.313,0.126,13.277,1272.791,3147.387,4.164,4.164,0.739,1.879,0.532,0.835
288,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:09843-04138,0.923,1.504,0.050,3.358,1324.676,3152.191,1.281,0.961,1.000,1.536,0.651,0.857
