 ,Label,Area,Mean,StdDev,Perim.,BX,BY,Width,Height,Circ.,AR,Round,Solidity
53,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:06641-12940,165.768,1.061,0.099,49.409,4137.691,2119.289,13.772,15.373,0.853,1.117,0.895,0.955
54,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:06658-16324,18.156,1.340,0.180,16.480,5226.001,2129.859,4.484,5.445,0.840,1.269,0.788,0.910
55,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:06689-12402,23.183,3.640,0.860,18.137,3969.544,2139.787,5.124,5.445,0.886,1.059,0.945,0.942
56,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:06722-03349,4.924,1.062,0.082,8.185,1071.335,2151.638,2.562,2.562,0.924,1.073,0.932,0.881
57,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:06808-16553,1.436,1.060,0.050,5.545,5300.626,2180.143,2.242,0.961,0.587,2.661,0.376,0.737
58,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:06807-04173,22.054,0.996,1.085E-4,17.651,1333.964,2177.580,5.445,5.445,0.889,1.214,0.824,0.921
59,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:06922-15353,27.491,1.472,0.435,19.463,4914.369,2213.772,5.765,6.406,0.912,1.022,0.979,0.934
60,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:07056-10634,67.292,1.071,0.272,30.211,3401.368,2255.088,8.968,9.608,0.927,1.081,0.925,0.960
61,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:07273-14703,0.308,3.315,0.264,1.812,4708.749,2329.073,0.641,0.641,1.000,1.464,0.683,0.857
62,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:07344-03126,12.412,1.226,0.140,22.556,997.350,2350.211,7.687,4.164,0.307,2.328,0.430,0.511
63,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:07442-06542,21.542,2.131,0.602,17.011,2092.706,2380.958,5.124,5.445,0.935,1.070,0.935,0.940
64,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:07521-14320,16.515,1.990,0.434,15.012,4584.481,2406.260,4.164,5.124,0.921,1.262,0.793,0.931
65,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:07658-04131,6.770,2.425,0.557,9.654,1321.794,2451.099,2.562,3.203,0.913,1.342,0.745,0.930
66,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:07691-13310,37.441,1.227,0.480,23.837,4259.397,2460.067,7.366,6.726,0.828,1.150,0.870,0.911
67,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:07750-15867,23.183,1.011,0.026,18.370,5078.672,2479.604,6.406,5.124,0.863,1.414,0.707,0.911
68,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:07790-13390,14.977,1.000,0.004,15.089,4285.980,2492.735,5.124,4.484,0.827,1.414,0.707,0.888
69,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:07892-08521,10.873,1.000,1.226E-4,12.372,2726.860,2526.044,4.484,3.203,0.893,1.439,0.695,0.922
70,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:07922-10325,4.001,1.015,0.038,7.092,3305.925,2536.293,2.242,2.242,1.000,1.089,0.919,0.907
71,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:07967-14370,8.411,1.274,0.112,12.184,4601.135,2549.745,2.883,4.164,0.712,1.450,0.690,0.816
72,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:08041-05789,23.901,1.007,0.014,18.900,1851.216,2572.485,5.765,6.085,0.841,1.045,0.957,0.891
73,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:08137-05627,29.953,1.034,0.059,20.291,1799.330,2602.912,6.085,6.406,0.914,1.084,0.922,0.937
74,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:08318-02409,9.437,1.004,0.038,11.919,769.311,2662.804,4.484,2.883,0.835,1.544,0.648,0.893
75,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:08459-13608,20.311,4.138,1.025,18.900,4355.481,2706.362,6.085,5.765,0.714,1.296,0.772,0.832
76,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:08487-17540,0.718,1.886,0.512,5.124,5616.742,2718.212,2.242,0.320,0.344,7.000,0.143,1.000
77,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:08724-14310,9.642,1.063,0.117,11.731,4581.278,2792.517,3.843,3.523,0.880,1.193,0.838,0.891
78,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:08734-03031,37.441,1.028,0.086,23.307,967.564,2793.798,6.726,7.046,0.866,1.099,0.910,0.937
79,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:08762-09573,20.311,1.012,0.033,16.558,3063.473,2804.047,5.445,4.804,0.931,1.125,0.889,0.936
80,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:08786-13384,29.235,1.033,0.082,20.026,4283.738,2811.093,6.085,6.085,0.916,1.024,0.977,0.939
81,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:08995-02314,35.390,1.002,0.023,21.916,737.924,2877.391,6.726,7.046,0.926,1.035,0.966,0.944
82,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:09028-14257,18.977,1.292,0.301,16.370,4563.342,2889.241,5.765,4.484,0.890,1.375,0.727,0.923
83,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:09069-06101,6.565,1.008,1.230E-4,9.279,1952.744,2903.334,2.883,2.883,0.958,1.111,0.900,0.908
84,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:09181-20282,4.513,2.234,0.438,8.451,6494.628,2939.205,2.883,2.562,0.794,1.547,0.646,0.830
85,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:09244-12029,9.130,1.398,0.233,11.809,3850.720,2959.062,4.164,3.523,0.823,1.135,0.881,0.856
86,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:09359-08149,87.705,1.012,0.040,36.053,2604.833,2992.051,10.569,10.890,0.848,1.044,0.958,0.936
87,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:09481-08718,0.615,0.998,1.345E-4,3.093,2791.556,3036.250,1.281,0.641,0.809,1.809,0.553,0.857
88,Result of 0h_nonlightexposed_A1 Region1_Merged_RAW_ch01.tif:09531-07155,1.949,2.309,0.456,6.076,2290.639,3051.623,1.922,2.242,0.663,2.073,0.482,0.704
