 ,Label,Area,Mean,StdDev,Perim.,BX,BY,Width,Height,Circ.,AR,Round,Solidity
2417,slice0007_Result of 0h_to_24h_timecourse_B2 Region1_Merged_RAW_ch01.tif:06333-00769,0.103,4.346,0,1.281,246.295,2028.33,0.32,0.32,0.785,1,1,1
2418,slice0007_Result of 0h_to_24h_timecourse_B2 Region1_Merged_RAW_ch01.tif:06336-00768,5.95,4.731,0.394,11.543,244.694,2028.01,2.883,2.883,0.561,1.151,0.868,0.841
2419,slice0007_Result of 0h_to_24h_timecourse_B2 Region1_Merged_RAW_ch01.tif:06384-09528,32.518,3.565,1.843,21.76,3048.42,2041.782,6.726,6.085,0.863,1.135,0.881,0.935
2420,slice0007_Result of 0h_to_24h_timecourse_B2 Region1_Merged_RAW_ch01.tif:06392-00986,40.826,3.929,0.862,24.025,312.593,2043.063,6.406,8.327,0.889,1.267,0.789,0.943
2421,slice0007_Result of 0h_to_24h_timecourse_B2 Region1_Merged_RAW_ch01.tif:06740-06885,0.103,5.212,0,1.281,2205.124,2158.684,0.32,0.32,0.785,1,1,1
2422,slice0007_Result of 0h_to_24h_timecourse_B2 Region1_Merged_RAW_ch01.tif:06763-06888,142.687,3.243,1.085,50.328,2199.359,2159.004,13.452,14.092,0.708,1.061,0.942,0.939
2423,slice0007_Result of 0h_to_24h_timecourse_B2 Region1_Merged_RAW_ch01.tif:06991-00973,8.411,5.29,0.701,11.09,310.351,2237.152,2.883,4.164,0.859,1.554,0.644,0.886
2424,slice0007_Result of 0h_to_24h_timecourse_B2 Region1_Merged_RAW_ch01.tif:07286-08899,0.103,5.075,0,1.281,2850.167,2333.556,0.32,0.32,0.785,1,1,1
2425,slice0007_Result of 0h_to_24h_timecourse_B2 Region1_Merged_RAW_ch01.tif:07288-08896,0.718,5.004,0.317,5.435,2848.566,2333.556,1.281,1.601,0.305,1.334,0.75,0.5
2426,slice0007_Result of 0h_to_24h_timecourse_B2 Region1_Merged_RAW_ch01.tif:07290-08902,0.103,4.913,0,1.281,2851.128,2334.838,0.32,0.32,0.785,1,1,1
2427,slice0007_Result of 0h_to_24h_timecourse_B2 Region1_Merged_RAW_ch01.tif:07291-08899,0.923,4.858,0.235,4.905,2849.527,2334.838,1.601,0.961,0.482,1.485,0.674,0.72
2428,slice0007_Result of 0h_to_24h_timecourse_B2 Region1_Merged_RAW_ch01.tif:07294-08898,0.103,4.547,0,1.281,2849.847,2336.119,0.32,0.32,0.785,1,1,1
2429,slice0007_Result of 0h_to_24h_timecourse_B2 Region1_Merged_RAW_ch01.tif:07851-00924,0.205,6.379,0.438,1.922,295.618,2514.514,0.641,0.32,0.698,2,0.5,1
2430,slice0007_Result of 0h_to_24h_timecourse_B2 Region1_Merged_RAW_ch01.tif:07853-00919,0.205,7.818,1.024,1.922,294.337,2514.835,0.32,0.641,0.698,2,0.5,1
2431,slice0007_Result of 0h_to_24h_timecourse_B2 Region1_Merged_RAW_ch01.tif:07862-00934,0.308,3.877,0.179,1.812,298.821,2517.717,0.641,0.641,1,1.464,0.683,0.857
2432,slice0007_Result of 0h_to_24h_timecourse_B2 Region1_Merged_RAW_ch01.tif:07865-00942,0.103,6.162,0,1.281,301.703,2518.998,0.32,0.32,0.785,1,1,1
2433,slice0007_Result of 0h_to_24h_timecourse_B2 Region1_Merged_RAW_ch01.tif:07872-00938,0.205,4.922,0.782,1.812,300.102,2520.92,0.641,0.641,0.785,2.646,0.378,0.667
2434,slice0007_Result of 0h_to_24h_timecourse_B2 Region1_Merged_RAW_ch01.tif:07861-00931,35.287,5.294,0.819,30.865,294.657,2513.554,7.046,8.648,0.465,1.259,0.794,0.797
2435,slice0007_Result of 0h_to_24h_timecourse_B2 Region1_Merged_RAW_ch01.tif:08133-07140,10.668,3.849,0.585,12.637,2284.874,2603.232,4.164,3.203,0.839,1.262,0.793,0.912
2436,slice0007_Result of 0h_to_24h_timecourse_B2 Region1_Merged_RAW_ch01.tif:08246-07178,0.103,4.483,0,1.281,2298.966,2641.025,0.32,0.32,0.785,1,1,1
2437,slice0007_Result of 0h_to_24h_timecourse_B2 Region1_Merged_RAW_ch01.tif:08254-07176,12.925,4.456,0.344,14.979,2296.404,2641.025,3.843,5.124,0.724,1.387,0.721,0.851
2438,slice0007_Result of 0h_to_24h_timecourse_B2 Region1_Merged_RAW_ch01.tif:08512-01467,0.103,3.932,0,1.281,469.85,2726.219,0.32,0.32,0.785,1,1,1
2439,slice0007_Result of 0h_to_24h_timecourse_B2 Region1_Merged_RAW_ch01.tif:08498-01458,97.245,2.461,0.906,46.174,459.921,2716.29,14.413,11.21,0.573,1.691,0.591,0.846
2440,slice0007_Result of 0h_to_24h_timecourse_B2 Region1_Merged_RAW_ch01.tif:09373-10192,2.462,2.228,0.211,5.623,3263.328,3001.019,1.922,1.922,0.978,1.134,0.882,0.828
2441,slice0007_Result of 0h_to_24h_timecourse_B2 Region1_Merged_RAW_ch01.tif:10053-07742,0.205,4.829,0.424,1.812,2479.284,3219.45,0.641,0.641,0.785,2.646,0.378,0.667
2442,slice0007_Result of 0h_to_24h_timecourse_B2 Region1_Merged_RAW_ch01.tif:10053-07734,0.513,5.27,0.811,2.452,2476.721,3219.45,0.641,0.961,1,1.553,0.644,0.909
2443,slice0007_Result of 0h_to_24h_timecourse_B2 Region1_Merged_RAW_ch01.tif:10059-07736,0.205,4.642,0.725,1.812,2477.362,3221.371,0.641,0.641,0.785,2.646,0.378,0.667
2444,slice0007_Result of 0h_to_24h_timecourse_B2 Region1_Merged_RAW_ch01.tif:10245-01521,26.26,3.956,0.644,19.994,484.263,3278.381,6.085,6.085,0.825,1.298,0.77,0.916
2445,slice0007_Result of 0h_to_24h_timecourse_B2 Region1_Merged_RAW_ch01.tif:11042-05421,0.103,4.812,0,1.281,1736.235,3536.526,0.32,0.32,0.785,1,1,1
2446,slice0007_Result of 0h_to_24h_timecourse_B2 Region1_Merged_RAW_ch01.tif:11044-05404,2.564,5.488,0.406,7.998,1729.509,3536.206,2.562,1.922,0.504,2.406,0.416,0.667
2447,slice0007_Result of 0h_to_24h_timecourse_B2 Region1_Merged_RAW_ch01.tif:11047-05406,0.513,4.877,0.146,3.358,1731.111,3537.807,0.961,0.961,0.572,1.064,0.94,0.667
